id,fecha,hora,cantidad_art,nombre_art,presentacion,precio,total_venta
1,2023.02.01,15.20.00,5.0702251115755095,HARINA INTEGRAL,1 kg,2200.0,11000.0
2,2023.02.01,19.42.00,4.173721573905846,NUECES,500 g,300.0,1200.0
3,2023.02.01,17.25.00,0.9846794179245975,ALMOHADITAS FRUTILLA,250 g,400.0,400.0
4,2023.02.02,15.47.00,0.9956740088677649,PIMENTON DULCE,250 g,120.0,120.0
5,2023.02.02,10.55.00,4.870913331899588,NUECES,300 g,300.0,1500.0
6,2023.02.02,15.06.00,0.9636002062686186,LENTEJAS,1 kg,300.0,300.0
7,2023.02.03,17.28.00,3.9374687599879388,QUINOA,500 g,600.0,2400.0
8,2023.02.03,09.45.00,1.0399897762125543,LENTEJAS,250 g,300.0,300.0
9,2023.02.03,20.36.00,1.978401643956248,NUECES,300 g,300.0,600.0
10,2023.02.04,16.58.00,2.0894342726503385,ALMOHADITAS FRUTILLA,250 g,400.0,800.0
11,2023.02.04,12.18.00,2.9537754040687867,ALMOHADITAS FRUTILLA,250 g,400.0,1200.0
12,2023.02.04,14.52.00,2.9281697202062578,ALMOHADITAS FRUTILLA,300 g,400.0,1200.0
13,2023.02.05,16.50.00,3.10092021840865,NUECES,500 g,300.0,900.0
14,2023.02.05,15.29.00,1.0364469271015526,ALMOHADITAS FRUTILLA,300 g,400.0,400.0
15,2023.02.05,16.53.00,2.8543491939235883,PIMENTON DULCE,500 g,120.0,360.0
16,2023.02.06,17.14.00,0.9872286835020301,NUECES,500 g,300.0,300.0
17,2023.02.06,08.33.00,4.8809398610958645,HARINA INTEGRAL,1 kg,2200.0,11000.0
18,2023.02.06,14.24.00,3.0752923306695337,PIMENTON DULCE,500 g,120.0,360.0
19,2023.02.07,13.15.00,5.227815788688072,PIMENTON DULCE,500 g,120.0,600.0
20,2023.02.07,15.52.00,4.795570640634069,ALMOHADITAS FRUTILLA,250 g,400.0,2000.0
21,2023.02.07,17.40.00,5.0176706880740465,HARINA INTEGRAL,1 kg,2200.0,11000.0
22,2023.02.08,18.09.00,2.944808871065354,QUINOA,500 g,600.0,1800.0
23,2023.02.08,16.14.00,4.830814161896319,HARINA INTEGRAL,1 kg,2200.0,11000.0
24,2023.02.08,13.30.00,4.167731611975033,NUECES,250 g,300.0,1200.0
25,2023.02.09,09.15.00,3.8027921333663253,ALMOHADITAS FRUTILLA,300 g,400.0,1600.0
26,2023.02.09,12.26.00,1.0311261872153397,QUINOA,1 kg,600.0,600.0
27,2023.02.09,17.17.00,0.9980867503492388,QUINOA,500 g,600.0,600.0
28,2023.02.10,18.06.00,5.190214418147356,LENTEJAS,250 g,300.0,1500.0
29,2023.02.10,16.59.00,5.110883272706702,QUINOA,1 kg,600.0,3000.0
30,2023.02.10,18.51.00,0.9605539914704054,QUINOA,1 kg,600.0,600.0
31,2023.02.11,11.49.00,0.9917028341144583,QUINOA,1 kg,600.0,600.0
32,2023.02.11,17.25.00,0.9904618956532064,LENTEJAS,250 g,300.0,300.0
33,2023.02.11,14.56.00,1.0179502762963941,HARINA INTEGRAL,1 kg,2200.0,2200.0
34,2023.02.12,16.14.00,4.025789919746283,QUINOA,500 g,600.0,2400.0
35,2023.02.12,19.25.00,3.0317577419909885,PIMENTON DULCE,500 g,120.0,360.0
36,2023.02.12,19.26.00,4.764128315716789,QUINOA,1 kg,600.0,3000.0
37,2023.02.13,18.50.00,5.154821770795214,QUINOA,1 kg,600.0,3000.0
38,2023.02.13,20.34.00,1.9735564442340747,LENTEJAS,1 kg,300.0,600.0
39,2023.02.13,08.01.00,4.096223268550678,PIMENTON DULCE,500 g,120.0,480.0
40,2023.02.14,09.28.00,2.0563060126022017,HARINA INTEGRAL,1 kg,2200.0,4400.0
41,2023.02.14,19.55.00,3.042744028426612,NUECES,500 g,300.0,900.0
42,2023.02.14,11.15.00,2.9472978766513265,LENTEJAS,1 kg,300.0,900.0
43,2023.02.15,10.20.00,1.9224117864126054,PIMENTON DULCE,500 g,120.0,240.0
44,2023.02.15,12.00.00,2.9601082196320694,QUINOA,1 kg,600.0,1800.0
45,2023.02.15,16.02.00,1.9351938568074647,ALMOHADITAS FRUTILLA,250 g,400.0,800.0
46,2023.02.16,13.40.00,5.040887304858672,ALMOHADITAS FRUTILLA,300 g,400.0,2000.0
47,2023.02.16,12.00.00,3.0966682081151147,HARINA INTEGRAL,1 kg,2200.0,6600.0
48,2023.02.16,12.58.00,4.8950158411257,PIMENTON DULCE,500 g,120.0,600.0
49,2023.02.17,19.37.00,0.9733722570046751,LENTEJAS,1 kg,300.0,300.0
50,2023.02.17,12.13.00,3.084173289676561,NUECES,300 g,300.0,900.0
51,2023.02.17,12.59.00,5.13295179007997,LENTEJAS,1 kg,300.0,1500.0
52,2023.02.18,19.10.00,4.164284490924377,HARINA INTEGRAL,500 g,2200.0,8800.0
53,2023.02.18,15.42.00,4.772991929304281,QUINOA,500 g,600.0,3000.0
54,2023.02.18,18.31.00,1.0399264933640862,HARINA INTEGRAL,500 g,2200.0,2200.0
55,2023.02.19,18.03.00,3.0230960782209584,NUECES,300 g,300.0,900.0
56,2023.02.19,20.24.00,1.0164967764104875,ALMOHADITAS FRUTILLA,300 g,400.0,400.0
57,2023.02.19,16.01.00,2.086444814965832,HARINA INTEGRAL,1 kg,2200.0,4400.0
58,2023.02.20,17.13.00,5.126166547896922,ALMOHADITAS FRUTILLA,300 g,400.0,2000.0
59,2023.02.20,10.40.00,2.0014631990568463,ALMOHADITAS FRUTILLA,300 g,400.0,800.0
60,2023.02.20,14.15.00,3.0196024181964765,PIMENTON DULCE,250 g,120.0,360.0
61,2023.02.21,19.09.00,1.938028044437621,QUINOA,500 g,600.0,1200.0
62,2023.02.21,11.31.00,3.8584659262715855,ALMOHADITAS FRUTILLA,300 g,400.0,1600.0
63,2023.02.21,14.50.00,2.8713977933935233,PIMENTON DULCE,500 g,120.0,360.0
64,2023.02.22,20.21.00,3.117342855719339,PIMENTON DULCE,250 g,120.0,360.0
65,2023.02.22,13.40.00,3.9066236159359247,QUINOA,1 kg,600.0,2400.0
66,2023.02.22,08.42.00,3.0822243810896532,LENTEJAS,250 g,300.0,900.0
67,2023.02.23,11.49.00,2.8773186059971367,PIMENTON DULCE,500 g,120.0,360.0
68,2023.02.23,12.45.00,4.861151992916396,QUINOA,500 g,600.0,3000.0
69,2023.02.23,13.30.00,2.9496060563081397,ALMOHADITAS FRUTILLA,250 g,400.0,1200.0
70,2023.02.24,10.27.00,3.0322512223791698,NUECES,500 g,300.0,900.0
71,2023.02.24,12.39.00,3.9808873436509944,NUECES,500 g,300.0,1200.0
72,2023.02.24,20.03.00,3.0439249808306,NUECES,300 g,300.0,900.0
73,2023.02.25,15.53.00,1.0450455753002117,PIMENTON DULCE,250 g,120.0,120.0
74,2023.02.25,17.38.00,4.940115817504021,PIMENTON DULCE,250 g,120.0,600.0
75,2023.02.25,12.11.00,3.1233743880864338,LENTEJAS,1 kg,300.0,900.0
76,2023.02.26,19.37.00,4.823978170075381,QUINOA,500 g,600.0,3000.0
77,2023.02.26,11.13.00,1.9432907112595592,QUINOA,1 kg,600.0,1200.0
78,2023.02.26,19.08.00,3.969382863800591,QUINOA,1 kg,600.0,2400.0
79,2023.02.27,10.35.00,5.187405834075375,HARINA INTEGRAL,1 kg,2200.0,11000.0
80,2023.02.27,14.09.00,4.914866947614091,QUINOA,500 g,600.0,3000.0
81,2023.02.27,14.37.00,1.039500136095991,QUINOA,500 g,600.0,600.0
82,2023.02.28,16.39.00,2.924913961244477,NUECES,500 g,300.0,900.0
83,2023.02.28,15.51.00,3.0976793346210405,NUECES,300 g,300.0,900.0
