id,fecha,hora,cantidad_art,nombre_art,presentacion,precio,total_venta
1,2023-02-01,18:07:00,3,HARINA INTEGRAL,1 kg,2200.0,6600.0
1,2023-02-02,11:08:00,1,PIMENTON DULCE,1 L,120.0,120.0
1,2023-02-03,19:57:00,1,QUINOA,500 ml,600.0,600.0
1,2023-02-04,14:02:00,1,HARINA INTEGRAL,1 kg,2200.0,2200.0
1,2023-02-05,11:32:00,1,QUINOA,500 ml,600.0,600.0
2,2023-02-01,11:45:00,5,PIMENTON DULCE,300 g,120.0,600.0
2,2023-02-02,11:28:00,3,QUINOA,500 g,600.0,1800.0
2,2023-02-03,20:51:00,4,LENTEJAS,250 g,300.0,1200.0
2,2023-02-04,12:09:00,3,LENTEJAS,500 g,300.0,900.0
2,2023-02-05,9:24:00,3,HARINA INTEGRAL,250 g,2200.0,6600.0
3,2023-02-01,17:16:00,4,HARINA INTEGRAL,500 ml,2200.0,8800.0
3,2023-02-02,9:59:00,1,NUECES,500 ml,300.0,300.0
3,2023-02-03,12:53:00,5,PIMENTON DULCE,250 g,120.0,600.0
3,2023-02-04,17:12:00,1,PIMENTON DULCE,500 g,120.0,120.0
3,2023-02-05,18:14:00,1,ALMOHADITAS FRUTILLA,1 kg,400.0,400.0
4,2023-02-01,9:24:00,4,ALMOHADITAS FRUTILLA,1 L,400.0,1600.0
4,2023-02-02,13:10:00,3,ALMOHADITAS FRUTILLA,1 kg,400.0,1200.0
4,2023-02-03,18:17:00,1,PIMENTON DULCE,500 ml,120.0,120.0
4,2023-02-04,18:10:00,2,QUINOA,1 kg,600.0,1200.0
4,2023-02-05,15:24:00,5,ALMOHADITAS FRUTILLA,1 kg,400.0,2000.0
5,2023-02-01,18:20:00,2,HARINA INTEGRAL,500 g,2200.0,4400.0
5,2023-02-02,20:20:00,3,NUECES,500 g,300.0,900.0
5,2023-02-03,11:58:00,3,QUINOA,1 kg,600.0,1800.0
5,2023-02-04,18:31:00,4,NUECES,1 kg,300.0,1200.0
5,2023-02-05,12:08:00,5,LENTEJAS,500 ml,300.0,1500.0
6,2023-02-01,12:47:00,4,QUINOA,500 ml,600.0,2400.0
6,2023-02-02,14:23:00,2,LENTEJAS,500 ml,300.0,600.0
6,2023-02-03,15:05:00,1,HARINA INTEGRAL,1 kg,2200.0,2200.0
6,2023-02-04,18:10:00,4,PIMENTON DULCE,500 ml,120.0,480.0
6,2023-02-05,9:24:00,5,NUECES,300 g,300.0,1500.0
7,2023-02-01,16:16:00,1,QUINOA,1 L,600.0,600.0
7,2023-02-02,19:07:00,5,PIMENTON DULCE,250 g,120.0,600.0
7,2023-02-03,20:41:00,1,ALMOHADITAS FRUTILLA,250 g,400.0,400.0
7,2023-02-04,14:10:00,1,NUECES,1 L,300.0,300.0
7,2023-02-05,19:16:00,2,QUINOA,500 ml,600.0,1200.0
8,2023-02-01,9:55:00,3,PIMENTON DULCE,1 L,120.0,360.0
8,2023-02-02,16:38:00,2,LENTEJAS,250 g,300.0,600.0
8,2023-02-03,20:10:00,5,QUINOA,500 g,600.0,3000.0
8,2023-02-04,17:20:00,1,NUECES,500 g,300.0,300.0
8,2023-02-05,13:56:00,2,ALMOHADITAS FRUTILLA,500 g,400.0,800.0
9,2023-02-01,11:56:00,1,QUINOA,500 g,600.0,600.0
9,2023-02-02,19:31:00,5,HARINA INTEGRAL,1 kg,2200.0,11000.0
9,2023-02-03,10:42:00,5,NUECES,1 kg,300.0,1500.0
9,2023-02-04,12:33:00,4,QUINOA,1 kg,600.0,2400.0
9,2023-02-05,16:48:00,2,PIMENTON DULCE,1 L,120.0,240.0
10,2023-02-01,12:25:00,3,PIMENTON DULCE,300 g,120.0,360.0
10,2023-02-02,16:28:00,2,HARINA INTEGRAL,1 kg,2200.0,4400.0
10,2023-02-03,9:21:00,5,HARINA INTEGRAL,500 ml,2200.0,11000.0
10,2023-02-04,11:37:00,1,LENTEJAS,500 g,300.0,300.0
10,2023-02-05,19:40:00,2,HARINA INTEGRAL,500 g,2200.0,4400.0
11,2023-02-01,8:55:00,1,ALMOHADITAS FRUTILLA,500 ml,400.0,400.0
11,2023-02-02,11:17:00,4,PIMENTON DULCE,1 kg,120.0,480.0
11,2023-02-03,16:08:00,5,PIMENTON DULCE,500 ml,120.0,600.0
11,2023-02-04,15:15:00,4,NUECES,1 kg,300.0,1200.0
11,2023-02-05,9:06:00,4,PIMENTON DULCE,250 g,120.0,480.0
12,2023-02-01,14:26:00,1,NUECES,1 L,300.0,300.0
12,2023-02-02,18:41:00,1,HARINA INTEGRAL,300 g,2200.0,2200.0
12,2023-02-03,19:21:00,2,HARINA INTEGRAL,1 kg,2200.0,4400.0
12,2023-02-04,11:34:00,2,NUECES,300 g,300.0,600.0
12,2023-02-05,10:17:00,2,NUECES,500 g,300.0,600.0
13,2023-02-01,15:51:00,1,QUINOA,500 g,600.0,600.0
13,2023-02-02,18:34:00,1,HARINA INTEGRAL,1 kg,2200.0,2200.0
13,2023-02-03,10:26:00,4,NUECES,1 kg,300.0,1200.0
13,2023-02-04,14:57:00,2,HARINA INTEGRAL,300 g,2200.0,4400.0
13,2023-02-05,8:24:00,4,ALMOHADITAS FRUTILLA,250 g,400.0,1600.0
14,2023-02-01,14:44:00,5,PIMENTON DULCE,1 L,120.0,600.0
14,2023-02-02,19:31:00,2,LENTEJAS,250 g,300.0,600.0
14,2023-02-03,11:03:00,5,QUINOA,500 g,600.0,3000.0
14,2023-02-04,19:20:00,1,HARINA INTEGRAL,500 ml,2200.0,2200.0
14,2023-02-05,15:32:00,2,QUINOA,500 g,600.0,1200.0
15,2023-02-01,16:05:00,1,LENTEJAS,500 ml,300.0,300.0
15,2023-02-02,9:43:00,4,LENTEJAS,500 g,300.0,1200.0
