id,fecha,hora,cantidad_art,nombre_art,presentacion,precio,total_venta
1001,2023-12-31,12:00:00,4,NUECES,"500 g",300.00,1200.00
1002,2023-12-31,11:12:00,4,"ALMOHADITAS FRUTILLA","300 g",400.00,1600.00
1003,2024-01-02,17:55:00,4,"ALMOHADITAS FRUTILLA","300 g",400.00,1600.00
1004,2024-01-02,20:43:00,1,LENTEJAS,"250 g",300.00,300.00
1005,2024-01-02,13:58:00,5,LENTEJAS,"1 kg",300.00,1500.00
1006,2024-01-03,12:28:00,1,"PIMENTON DULCE","500 g",120.00,120.00
1007,2024-01-03,13:29:00,3,"ALMOHADITAS FRUTILLA","300 g",400.00,1200.00
1008,2024-01-03,09:13:00,1,"PIMENTON DULCE","500 g",120.00,120.00
1009,2024-01-04,11:55:00,1,QUINOA,"1 kg",600.00,600.00
1010,2024-01-04,12:56:00,4,"PIMENTON DULCE","250 g",120.00,480.00
1011,2024-01-04,20:57:00,3,"ALMOHADITAS FRUTILLA","250 g",400.00,1200.00
1012,2024-01-05,20:44:00,4,"PIMENTON DULCE","500 g",120.00,480.00
1013,2024-01-05,09:30:00,5,"HARINA INTEGRAL","500 g",2200.00,11000.00
1014,2024-01-05,10:01:00,4,"HARINA INTEGRAL","1 kg",2200.00,8800.00
1015,2024-01-06,20:26:00,2,"HARINA INTEGRAL","1 kg",2200.00,4400.00
1016,2024-01-06,20:41:00,1,NUECES,"300 g",300.00,300.00
1017,2024-01-06,11:14:00,3,LENTEJAS,"1 kg",300.00,900.00
1018,2024-01-07,14:13:00,5,LENTEJAS,"250 g",300.00,1500.00
1019,2024-01-07,10:23:00,3,LENTEJAS,"250 g",300.00,900.00
1020,2024-01-07,14:45:00,1,"HARINA INTEGRAL","1 kg",2200.00,2200.00
1021,2024-01-08,08:47:00,3,"HARINA INTEGRAL","1 kg",2200.00,6600.00
1022,2024-01-08,18:05:00,5,"HARINA INTEGRAL","1 kg",2200.00,11000.00
1023,2024-01-08,20:57:00,4,"PIMENTON DULCE","250 g",120.00,480.00
1024,2024-01-09,20:32:00,2,"PIMENTON DULCE","500 g",120.00,240.00
1025,2024-01-09,17:07:00,3,"PIMENTON DULCE","250 g",120.00,360.00
1026,2024-01-09,11:10:00,5,"HARINA INTEGRAL","1 kg",2200.00,11000.00
1027,2024-01-10,13:04:00,1,"HARINA INTEGRAL","500 g",2200.00,2200.00
1028,2024-01-10,09:08:00,2,LENTEJAS,"250 g",300.00,600.00
1029,2024-01-10,18:47:00,1,"ALMOHADITAS FRUTILLA","300 g",400.00,400.00
